Building/  Project Name,Street Name,Postal District,Type,No. of Bedroom  (for Non-Landed Only),Monthly Rent  ($),Floor Area (Sqft)  1,Lease  Commencement  Date
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2300,1200 to 1300,Jun-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,3000,800 to 900,Jun-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,4000,1300 to 1400,Jun-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,2750,800 to 900,May-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,4150,1300 to 1400,May-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,4300,1400 to 1500,May-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,3,4100,1100 to 1200,Apr-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2300,1100 to 1200,Apr-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,4000,1300 to 1400,Apr-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,3,3950,1100 to 1200,Apr-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,3350,1300 to 1400,Apr-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,2800,800 to 900,Apr-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2100,1100 to 1200,Apr-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,4200,1400 to 1500,Apr-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,4,4500,2300 to 2400,Apr-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,3500,1300 to 1400,Apr-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2100,1100 to 1200,Apr-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,3400,800 to 900,Apr-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,4,4800,1600 to 1700,Mar-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,3700,1300 to 1400,Mar-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,4000,1400 to 1500,Mar-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,3200,800 to 900,Mar-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,3700,1300 to 1400,Mar-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,2900,1200 to 1300,Mar-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,3400,1300 to 1400,Mar-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2600,1200 to 1300,Mar-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,2,2600,800 to 900,Mar-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,3150,800 to 900,Mar-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,3,4500,1100 to 1200,Mar-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2100,1100 to 1200,Mar-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2100,1200 to 1300,Feb-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2300,1100 to 1200,Feb-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,3000,800 to 900,Feb-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,1,2300,500 to 600,Feb-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,3600,1300 to 1400,Feb-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,2,2650,1000 to 1100,Jan-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,3400,800 to 900,Jan-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,2,3000,800 to 900,Jan-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,2,2550,1000 to 1100,Jan-21
MONTEBLEU,MINBU ROAD,11,Non-landed Properties,3,3800,1100 to 1200,Jan-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,2,2600,1000 to 1100,Jan-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2300,1200 to 1300,Jan-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,4,4800,1600 to 1700,Jan-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,2,2600,1000 to 1100,Jan-21
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,5,Non-landed Properties,3,3600,1400 to 1500,Jan-21
MONTROSA,HILLVIEW AVENUE,23,Non-landed Properties,3,2200,1100 to 1200,Jan-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,2,2900,1100 to 1200,Jun-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,2,2200,800 to 900,Jun-21
MOONSTONE RESIDENCES,MOONSTONE LANE,12,Non-landed Properties,3,2850,1200 to 1300,May-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,3,4400,1500 to 1600,May-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,3,4700,1500 to 1600,May-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,4,5000,1700 to 1800,May-21
MOONSTONE RESIDENCES,MOONSTONE LANE,12,Non-landed Properties,3,3490,1200 to 1300,May-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,4,5400,1700 to 1800,May-21
MOONSTONE RESIDENCES,MOONSTONE LANE,12,Non-landed Properties,1,2050,700 to 800,Apr-21
MOONSTONE ROYALE,MOONSTONE LANE,12,Non-landed Properties,1,1750,400 to 500,Apr-21
MONVILLE MANSIONS,BALESTIER ROAD,12,Non-landed Properties,3,3800,1600 to 1700,Apr-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,4,5500,1700 to 1800,Apr-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,3,2650,1100 to 1200,Mar-21
MONVILLE MANSIONS,BALESTIER ROAD,12,Non-landed Properties,3,3400,1600 to 1700,Mar-21
MOONSTONE RESIDENCES,MOONSTONE LANE,12,Non-landed Properties,1,2100,700 to 800,Mar-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,2,2250,900 to 1000,Mar-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,3,3200,1300 to 1400,Mar-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,1,2100,800 to 900,Feb-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,3,4700,1500 to 1600,Feb-21
MOONSTONE ROYALE,MOONSTONE LANE,12,Non-landed Properties,2,2250,800 to 900,Feb-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,4,7500,>3000,Feb-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,3,2750,1200 to 1300,Feb-21
MONVILLE MANSIONS,BALESTIER ROAD,12,Non-landed Properties,3,3100,1600 to 1700,Feb-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,3,2650,1100 to 1200,Feb-21
MOONSTONE RESIDENCES,MOONSTONE LANE,12,Non-landed Properties,2,2500,1000 to 1100,Jan-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,2,2300,800 to 900,Jan-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,4,5500,1700 to 1800,Jan-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,2,2100,800 to 900,Jan-21
MONTVIEW,MOUNT SINAI DRIVE,10,Non-landed Properties,3,4800,1500 to 1600,Jan-21
MOONSTONE VIEW,MOONSTONE LANE,12,Non-landed Properties,2,2400,900 to 1000,Jan-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,3,5200,2400 to 2500,Jun-21
MOULMEIN COURT,MOULMEIN ROAD,11,Non-landed Properties,,2600,1600 to 1700,Jun-21
MOUNT ECHO PARK,MOUNT ECHO PARK,10,Detached House,,18000,>8000,Jun-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,5,6800,>3000,Jun-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,3,6100,2600 to 2700,May-21
MORIMASA GARDENS,GILSTEAD ROAD,11,Non-landed Properties,3,5500,2200 to 2300,May-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,2,3300,1100 to 1200,May-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,2,2800,1100 to 1200,Apr-21
MOUNT ECHO PARK,MOUNT ECHO PARK,10,Detached House,,15500,>8000,Apr-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,2,3100,1100 to 1200,Mar-21
MORIMASA GARDENS,GILSTEAD ROAD,11,Non-landed Properties,3,5200,2300 to 2400,Mar-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,2,3200,1100 to 1200,Feb-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,3,5275,2400 to 2500,Jan-21
MORIMASA GARDENS,GILSTEAD ROAD,11,Non-landed Properties,3,4700,1800 to 1900,Jan-21
MORIMASA GARDENS,GILSTEAD ROAD,11,Non-landed Properties,3,5200,2200 to 2300,Jan-21
MOUNT FABER LODGE,MOUNT FABER ROAD,4,Non-landed Properties,5,6800,>3000,Jan-21
MOUNT SINAI,MOUNT SINAI PLAIN,10,Semi-Detached House,,5200,3000 to 3500,Jun-21
MOUNT SINAI,MOUNT SINAI RISE,10,Semi-Detached House,,10000,3500 to 4000,Jun-21
MOUNT ROSIE VILLAS,MOUNT ROSIE ROAD,11,Semi-Detached House,,4600,3000 to 3500,Jun-21
MOUNT SINAI,MOUNT SINAI VIEW,10,Terrace House,,4250,1500 to 2000,May-21
MOUNT ROSIE TERRACE,MOUNT ROSIE TERRACE,11,Terrace House,,9500,3000 to 3500,May-21
MOUNT SINAI,MOUNT SINAI DRIVE,10,Terrace House,,5000,1500 to 2000,Apr-21
MOUNT ROSIE GARDEN,GOLDHILL AVENUE,11,Non-landed Properties,,3200,1400 to 1500,Apr-21
MOUNT SINAI,MOUNT SINAI DRIVE,10,Terrace House,,3200,1500 to 2000,Mar-21
MOUNT SINAI,MOUNT SINAI AVENUE,10,Semi-Detached House,,7300,3000 to 3500,Mar-21
MOUNT ROSIE GARDEN,GOLDHILL AVENUE,11,Non-landed Properties,,3300,1400 to 1500,Mar-21
MOUNT ROSIE VILLAS,MOUNT ROSIE ROAD,11,Detached House,,11500,7500 to 8000,Mar-21
MOUNT ROSIE GARDEN,GOLDHILL AVENUE,11,Non-landed Properties,3,5350,2400 to 2500,Jan-21
MOUNT ROSIE GARDEN,GOLDHILL AVENUE,11,Non-landed Properties,4,6000,2900 to 3000,Jan-21
MOUNT SINAI,MOUNT SINAI WALK,10,Semi-Detached House,,6500,3500 to 4000,Jan-21
MOUNT ROSIE VILLAS,MOUNT ROSIE ROAD,11,Detached House,,11500,7500 to 8000,Jan-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,2,2800,600 to 700,Jun-21
MOUNTBATTEN SUITES,MOUNTBATTEN ROAD,15,Non-landed Properties,1,2000,400 to 500,Jun-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,2,2800,600 to 700,Jun-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,1,2300,400 to 500,Jun-21
MOUNTBATTEN LODGE,MOUNTBATTEN ROAD,15,Non-landed Properties,1,1550,300 to 400,May-21
MOUNTBATTEN LODGE,MOUNTBATTEN ROAD,15,Non-landed Properties,1,2400,500 to 600,May-21
MOUNTBATTEN LODGE,MOUNTBATTEN ROAD,15,Non-landed Properties,1,1500,300 to 400,Apr-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,1,2400,500 to 600,Apr-21
MOUNTBATTEN SUITES,MOUNTBATTEN ROAD,15,Non-landed Properties,2,2550,800 to 900,Apr-21
MOUNTBATTEN LODGE,MOUNTBATTEN ROAD,15,Non-landed Properties,1,1650,300 to 400,Apr-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,1,2500,500 to 600,Apr-21
MOUNTBATTEN LODGE,MOUNTBATTEN ROAD,15,Non-landed Properties,1,1500,300 to 400,Apr-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,1,2600,600 to 700,Mar-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,1,2300,400 to 500,Feb-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,1,2400,400 to 500,Feb-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,2,2600,600 to 700,Feb-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,1,1850,300 to 400,Feb-21
MOUNTBATTEN LODGE,MOUNTBATTEN ROAD,15,Non-landed Properties,1,1350,300 to 400,Feb-21
MOUNTBATTEN SUITES,MOUNTBATTEN ROAD,15,Non-landed Properties,1,1750,500 to 600,Jan-21
MOUNTBATTEN REGENCY,MOUNTBATTEN ROAD,15,Non-landed Properties,3,3400,1100 to 1200,Jan-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,2,2200,500 to 600,Jan-21
MOUNT SOPHIA SUITES,SOPHIA ROAD,9,Non-landed Properties,1,2300,500 to 600,Jan-21
MOUNTBATTEN LODGE,MOUNTBATTEN ROAD,15,Non-landed Properties,1,2300,500 to 600,Jan-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,1,2300,400 to 500,Jun-21
MUSWELL VILLAS,MUSWELL HILL,13,Detached House,,7000,5000 to 5500,Jun-21
MURANO,PASIR PANJANG ROAD,5,Non-landed Properties,3,3000,1000 to 1100,May-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,2,2700,600 to 700,Apr-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,1,2300,400 to 500,Apr-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,2,2800,700 to 800,Apr-21
MURANO,PASIR PANJANG ROAD,5,Non-landed Properties,3,3200,1000 to 1100,Apr-21
MUSWELL VILLAS,MUSWELL HILL,13,Detached House,,7000,5000 to 5500,Mar-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,1,2300,600 to 700,Mar-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,1,2600,400 to 500,Feb-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,1,2300,400 to 500,Feb-21
MURANO,PASIR PANJANG ROAD,5,Non-landed Properties,3,2900,1000 to 1100,Feb-21
MURANO,PASIR PANJANG ROAD,5,Non-landed Properties,3,3300,1000 to 1100,Feb-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,1,2400,400 to 500,Jan-21
MULBERRY TREE,MOULMEIN ROAD,11,Non-landed Properties,1,2300,400 to 500,Jan-21
MURANO,PASIR PANJANG ROAD,5,Non-landed Properties,2,3000,800 to 900,Jan-21
MURANO,PASIR PANJANG ROAD,5,Non-landed Properties,2,2800,800 to 900,Jan-21
MURANO,PASIR PANJANG ROAD,5,Non-landed Properties,3,3300,1000 to 1100,Jan-21
MURANO,PASIR PANJANG ROAD,5,Non-landed Properties,1,1950,600 to 700,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2900,900 to 1000,Jun-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2700,800 to 900,Jun-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3400,1100 to 1200,Jun-21
MUTIARA CREST,JALAN MUTIARA,10,Non-landed Properties,3,4500,1300 to 1400,Jun-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2400,500 to 600,Jun-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,3700,1000 to 1100,Jun-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2100,500 to 600,Jun-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,2700,1300 to 1400,Jun-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2700,900 to 1000,Jun-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2750,800 to 900,Jun-21
NADIA MANSIONS,AH HOOD ROAD,12,Non-landed Properties,4,3900,2200 to 2300,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,4,4100,1300 to 1400,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2040,600 to 700,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3000,800 to 900,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2850,800 to 900,May-21
NADIA MANSIONS,AH HOOD ROAD,12,Non-landed Properties,4,4100,2200 to 2300,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3200,900 to 1000,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2200,400 to 500,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2800,800 to 900,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3100,800 to 900,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2300,500 to 600,May-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2200,500 to 600,Apr-21
MUTIARA CREST,JALAN MUTIARA,10,Non-landed Properties,3,3700,1300 to 1400,Apr-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3250,900 to 1000,Apr-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,4295,1500 to 1600,Apr-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,4,5500,1300 to 1400,Apr-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2300,500 to 600,Apr-21
MUTIARA CREST,JALAN MUTIARA,10,Non-landed Properties,3,3900,1300 to 1400,Apr-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3500,900 to 1000,Apr-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2050,400 to 500,Apr-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2250,500 to 600,Apr-21
MUTIARA VIEW,JALAN MUTIARA,10,Non-landed Properties,3,3700,1100 to 1200,Mar-21
NADIA MANSIONS,AH HOOD ROAD,12,Non-landed Properties,4,4000,2200 to 2300,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2900,800 to 900,Mar-21
NAGARATHAR BUILDING,TANK ROAD,9,Non-landed Properties,,3000,900 to 1000,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2200,500 to 600,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2900,800 to 900,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2400,500 to 600,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,,2000,400 to 500,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2700,800 to 900,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2400,500 to 600,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3000,800 to 900,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2850,800 to 900,Mar-21
MUTIARA CREST,JALAN MUTIARA,10,Non-landed Properties,1,2600,700 to 800,Mar-21
MUTIARA CREST,JALAN MUTIARA,10,Non-landed Properties,4,5500,>3000,Mar-21
NADIA MANSIONS,AH HOOD ROAD,12,Non-landed Properties,4,4500,2200 to 2300,Mar-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3050,900 to 1000,Feb-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3000,800 to 900,Feb-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2800,800 to 900,Feb-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,3400,1100 to 1200,Feb-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,4000,1300 to 1400,Feb-21
MUTIARA CREST,JALAN MUTIARA,10,Non-landed Properties,3,4000,1300 to 1400,Feb-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,3650,1000 to 1100,Feb-21
MUTIARA VIEW,JALAN MUTIARA,10,Non-landed Properties,3,3200,1100 to 1200,Feb-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,,2000,400 to 500,Feb-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2950,900 to 1000,Feb-21
NADIA MANSIONS,AH HOOD ROAD,12,Non-landed Properties,4,4000,2200 to 2300,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2800,800 to 900,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,3,2800,1300 to 1400,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2050,400 to 500,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,3300,800 to 900,Jan-21
MUTIARA CREST,JALAN MUTIARA,10,Non-landed Properties,3,4000,1300 to 1400,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2700,800 to 900,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,2,2850,800 to 900,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2100,500 to 600,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,4,4200,1300 to 1400,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2000,500 to 600,Jan-21
MY MANHATTAN,SIMEI STREET 3,18,Non-landed Properties,1,2150,500 to 600,Jan-21
MUTIARA CREST,JALAN MUTIARA,10,Non-landed Properties,1,2200,400 to 500,Jan-21
NASSIM JADE,NASSIM ROAD,10,Non-landed Properties,3,7500,2000 to 2100,Jun-21
NASSIM JADE,NASSIM ROAD,10,Non-landed Properties,3,6200,1800 to 1900,Jun-21
NANYANG PARK,JALAN LIMBOK,19,Non-landed Properties,,2450,1500 to 1600,Jun-21
NANYANG PARK,JALAN LIMBOK,19,Non-landed Properties,,2300,1500 to 1600,May-21
NANYANG PARK,JALAN LIMBOK,19,Terrace House,,2800,2000 to 2500,May-21
NANYANG PARK,JALAN LIMBOK,19,Semi-Detached House,,4400,2500 to 3000,Apr-21
NANYANG PARK,JALAN LIMBOK,19,Terrace House,,2600,1000 to 1500,Apr-21
NASSIM JADE,NASSIM ROAD,10,Non-landed Properties,4,10500,>3000,Mar-21
NASSIM JADE,NASSIM ROAD,10,Non-landed Properties,3,8600,>3000,Feb-21
NASSIM JADE,NASSIM ROAD,10,Non-landed Properties,3,8000,2100 to 2200,Feb-21
NASSIM JADE,NASSIM ROAD,10,Non-landed Properties,3,9500,2100 to 2200,Feb-21
NANYANG PARK,JALAN LIMBOK,19,Terrace House,,2600,1000 to 1500,Feb-21
NASSIM JADE,NASSIM ROAD,10,Non-landed Properties,4,10000,>3000,Jan-21
NANYANG PARK,JALAN LIMBOK,19,Terrace House,,5500,3000 to 3500,Jan-21
NASSIM LODGE,NASSIM ROAD,10,Non-landed Properties,3,13600,>3000,Jan-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,11500,>3000,Jun-21
NASSIMVILLE,NASSIM ROAD,10,Non-landed Properties,,13000,>3000,Jun-21
NASSIM REGENCY,NASSIM ROAD,10,Non-landed Properties,3,9264,2000 to 2100,Jun-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,12200,>3000,Jun-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,25000,>3000,Jun-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,8200,>3000,Jun-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,11500,>3000,Jun-21
NASSIM REGENCY,NASSIM ROAD,10,Non-landed Properties,3,9264,2000 to 2100,Jun-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,23000,>3000,May-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,4,9233,2800 to 2900,May-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,17200,>3000,May-21
NASSIMVILLE,NASSIM ROAD,10,Non-landed Properties,,7500,1400 to 1500,Apr-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,11000,>3000,Apr-21
NASSIMVILLE,NASSIM ROAD,10,Non-landed Properties,,8000,1700 to 1800,Apr-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,10500,>3000,Apr-21
NASSIM REGENCY,NASSIM ROAD,10,Non-landed Properties,3,9358,2000 to 2100,Apr-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,10000,>3000,Apr-21
NASSIMVILLE,NASSIM ROAD,10,Non-landed Properties,,7300,1400 to 1500,Mar-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,20000,>3000,Mar-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,22000,>3000,Mar-21
NASSIMVILLE,NASSIM ROAD,10,Non-landed Properties,,8600,1500 to 1600,Mar-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,19000,>3000,Mar-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,20000,>3000,Mar-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,20000,>3000,Mar-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,4,10000,2800 to 2900,Feb-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,11500,>3000,Feb-21
NASSIM REGENCY,NASSIM ROAD,10,Non-landed Properties,3,8610,2000 to 2100,Feb-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,22100,>3000,Feb-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,12800,>3000,Feb-21
NASSIMVILLE,NASSIM ROAD,10,Non-landed Properties,2,5700,1100 to 1200,Feb-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,16000,>3000,Feb-21
NASSIMVILLE,NASSIM ROAD,10,Non-landed Properties,,7400,1400 to 1500,Feb-21
NASSIM REGENCY,NASSIM ROAD,10,Non-landed Properties,3,8797,2000 to 2100,Jan-21
NASSIM REGENCY,NASSIM ROAD,10,Non-landed Properties,3,8984,2000 to 2100,Jan-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,5,40000,>3000,Jan-21
NASSIM PARK RESIDENCES,NASSIM ROAD,10,Non-landed Properties,4,19000,>3000,Jan-21
NASSIMVILLE,NASSIM ROAD,10,Non-landed Properties,2,5600,1100 to 1200,Jan-21
NASSIM MANSION,NASSIM HILL,10,Non-landed Properties,,10700,>3000,Jan-21
